cabinet,score,is_multi
CAB-B,22.61,0
CAB-B,26.0,0
CAB-B,26.49,0
CAB-B,31.59,0
CAB-B,40.61,0
CAB-B,44.02,0
CAB-B,45.18,0
CAB-B,45.34,0
CAB-B,48.66,0
CAB-B,52.78,0
CAB-B,53.35,0
CAB-B,56.22,0
CAB-B,58.43,0
CAB-B,63.15,0
CAB-B,70.56,0
CAB-B,70.61,0
CAB-B,78.2,0
CAB-B,80.82,0
CAB-B,93.66,0
CAB-B,53.54,1
CAB-B,53.54,1
CAB-B,53.63,1
CAB-B,56.48,1
CAB-B,62.06,1
CAB-B,62.06,1
CAB-B,67.66,1
CAB-B,67.66,1
CAB-B,76.25,1
CAB-B,76.25,1
CAB-B,79.14,1
CAB-B,79.14,1
CAB-B,80.3,1
CAB-B,80.3,1
CAB-B,82.9,1
CAB-B,85.64,1
CAB-B,85.64,1
CAB-B,89.68,1
CAB-B,92.36,1
CAB-B,92.87,1
CAB-B,93.1,1
CAB-B,94.16,1
CAB-B,95.63,1
CAB-B,95.88,1
CAB-A,20.92,0
CAB-A,33.87,0
CAB-A,35.45,0
CAB-A,35.56,0
CAB-A,37.16,0
CAB-A,39.02,0
CAB-A,40.34,0
CAB-A,40.68,0
CAB-A,42.43,0
CAB-A,44.33,0
CAB-A,45.67,0
CAB-A,45.92,0
CAB-A,49.02,0
CAB-A,49.57,0
CAB-A,52.98,0
CAB-A,54.93,0
CAB-A,57.87,0
CAB-A,62.02,0
CAB-A,62.7,0
CAB-A,67.11,0
CAB-A,68.84,0
CAB-A,71.78,0
CAB-A,72.58,0
CAB-A,73.25,0
CAB-A,75.79,0
CAB-A,77.04,0
CAB-A,81.16,0
CAB-A,82.13,0
CAB-A,87.77,0
CAB-A,88.3,0
CAB-A,89.14,0
CAB-A,91.54,0
CAB-A,92.08,0
CAB-A,93.44,0
CAB-A,94.92,0
CAB-A,27.31,1
CAB-A,30.66,1
CAB-A,34.28,1
CAB-A,34.28,1
CAB-A,42.08,1
CAB-A,42.43,1
CAB-A,43.81,1
CAB-A,45.59,1
CAB-A,45.59,1
CAB-A,45.59,1
CAB-A,45.59,1
CAB-A,46.27,1
CAB-A,47.05,1
CAB-A,47.05,1
CAB-A,47.59,1
CAB-A,47.59,1
CAB-A,50.63,1
CAB-A,51.91,1
CAB-A,52.34,1
CAB-A,52.53,1
CAB-A,54.02,1
CAB-A,54.02,1
CAB-A,54.02,1
CAB-A,54.44,1
CAB-A,54.44,1
CAB-A,55.49,1
CAB-A,55.49,1
CAB-A,55.49,1
CAB-A,55.49,1
CAB-A,55.49,1
CAB-A,55.49,1
CAB-A,55.49,1
CAB-A,55.49,1
CAB-A,55.49,1
CAB-A,55.49,1
CAB-A,57.22,1
CAB-A,57.36,1
CAB-A,57.75,1
CAB-A,58.35,1
CAB-A,58.49,1
CAB-A,59.65,1
CAB-A,59.65,1
CAB-A,59.67,1
CAB-A,59.67,1
CAB-A,59.67,1
CAB-A,59.96,1
CAB-A,60.2,1
CAB-A,60.31,1
CAB-A,60.31,1
CAB-A,60.65,1
CAB-A,61.24,1
CAB-A,61.4,1
CAB-A,61.47,1
CAB-A,62.41,1
CAB-A,63.27,1
CAB-A,63.27,1
CAB-A,63.51,1
CAB-A,64.05,1
CAB-A,64.23,1
CAB-A,64.72,1
CAB-A,65.06,1
CAB-A,65.2,1
CAB-A,66.13,1
CAB-A,66.13,1
CAB-A,66.45,1
CAB-A,66.69,1
CAB-A,67.82,1
CAB-A,67.94,1
CAB-A,68.02,1
CAB-A,68.16,1
CAB-A,68.43,1
CAB-A,68.55,1
CAB-A,68.75,1
CAB-A,69.07,1
CAB-A,69.64,1
CAB-A,70.64,1
CAB-A,70.64,1
CAB-A,70.64,1
CAB-A,70.96,1
CAB-A,71.27,1
CAB-A,72.5,1
CAB-A,72.6,1
CAB-A,72.94,1
CAB-A,73.42,1
CAB-A,73.68,1
CAB-A,73.7,1
CAB-A,74.02,1
CAB-A,74.17,1
CAB-A,74.17,1
CAB-A,74.31,1
CAB-A,75.13,1
CAB-A,75.39,1
CAB-A,75.44,1
CAB-A,75.75,1
CAB-A,75.75,1
CAB-A,76.02,1
CAB-A,76.25,1
CAB-A,76.73,1
CAB-A,77.55,1
CAB-A,77.83,1
CAB-A,77.98,1
CAB-A,78.1,1
CAB-A,78.1,1
CAB-A,78.47,1
CAB-A,78.54,1
CAB-A,78.61,1
CAB-A,78.63,1
CAB-A,78.85,1
CAB-A,78.92,1
CAB-A,78.97,1
CAB-A,79.15,1
CAB-A,79.16,1
CAB-A,79.35,1
CAB-A,79.43,1
CAB-A,79.69,1
CAB-A,79.72,1
CAB-A,79.88,1
CAB-A,79.91,1
CAB-A,79.98,1
CAB-A,80.07,1
CAB-A,80.07,1
CAB-A,80.43,1
CAB-A,80.64,1
CAB-A,80.69,1
CAB-A,80.69,1
CAB-A,80.91,1
CAB-A,80.91,1
CAB-A,81.08,1
CAB-A,81.53,1
CAB-A,81.57,1
CAB-A,81.81,1
CAB-A,82.16,1
CAB-A,82.35,1
CAB-A,82.43,1
CAB-A,82.55,1
CAB-A,82.69,1
CAB-A,82.87,1
CAB-A,83.02,1
CAB-A,83.02,1
CAB-A,83.54,1
CAB-A,83.61,1
CAB-A,83.96,1
CAB-A,84.0,1
CAB-A,84.45,1
CAB-A,84.46,1
CAB-A,84.49,1
CAB-A,85.69,1
CAB-A,85.91,1
CAB-A,85.96,1
CAB-A,86.02,1
CAB-A,86.02,1
CAB-A,86.05,1
CAB-A,86.17,1
CAB-A,86.47,1
CAB-A,86.59,1
CAB-A,86.69,1
CAB-A,87.22,1
CAB-A,87.27,1
CAB-A,87.28,1
CAB-A,87.52,1
CAB-A,87.52,1
CAB-A,87.52,1
CAB-A,87.63,1
CAB-A,87.66,1
CAB-A,87.81,1
CAB-A,88.03,1
CAB-A,88.18,1
CAB-A,88.22,1
CAB-A,88.62,1
CAB-A,89.08,1
CAB-A,89.09,1
CAB-A,89.15,1
CAB-A,89.27,1
CAB-A,89.34,1
CAB-A,89.36,1
CAB-A,89.37,1
CAB-A,89.47,1
CAB-A,89.71,1
CAB-A,90.46,1
CAB-A,90.59,1
CAB-A,90.89,1
CAB-A,91.01,1
CAB-A,91.06,1
CAB-A,91.15,1
CAB-A,91.63,1
CAB-A,91.72,1
CAB-A,92.1,1
CAB-A,92.11,1
CAB-A,92.14,1
CAB-A,92.32,1
CAB-A,92.37,1
CAB-A,92.53,1
CAB-A,92.56,1
CAB-A,92.76,1
CAB-A,92.9,1
CAB-A,92.96,1
CAB-A,93.02,1
CAB-A,93.05,1
CAB-A,93.05,1
CAB-A,93.05,1
CAB-A,93.31,1
CAB-A,93.63,1
CAB-A,93.74,1
CAB-A,93.86,1
CAB-A,93.99,1
CAB-A,94.19,1
CAB-A,94.73,1
CAB-A,94.87,1
CAB-A,94.88,1
CAB-A,94.98,1
CAB-A,94.99,1
CAB-A,95.1,1
CAB-A,95.41,1
CAB-A,95.47,1
CAB-A,95.56,1
CAB-A,95.66,1
CAB-A,95.69,1
CAB-A,95.7,1
CAB-A,96.05,1
CAB-A,96.24,1
CAB-A,96.57,1
CAB-A,96.76,1
CAB-A,97.23,1
CAB-A,97.88,1
CAB-A,98.56,1
CAB-A,98.76,1
CAB-A,99.9,1
CAB-C,40.69,0
CAB-C,68.67,0
CAB-C,56.2,1
CAB-C,59.05,1
CAB-C,60.92,1
CAB-C,62.76,1
CAB-C,64.55,1
CAB-C,65.52,1
CAB-C,67.24,1
CAB-C,69.51,1
CAB-C,70.02,1
CAB-C,70.33,1
CAB-C,70.62,1
CAB-C,72.8,1
CAB-C,73.2,1
CAB-C,73.55,1
CAB-C,76.38,1
CAB-C,76.91,1
CAB-C,77.05,1
CAB-C,77.05,1
CAB-C,77.56,1
CAB-C,78.01,1
CAB-C,78.09,1
CAB-C,78.2,1
CAB-C,78.37,1
CAB-C,78.95,1
CAB-C,79.49,1
CAB-C,80.1,1
CAB-C,80.39,1
CAB-C,81.64,1
CAB-C,81.76,1
CAB-C,81.93,1
CAB-C,83.15,1
CAB-C,84.75,1
CAB-C,85.84,1
CAB-C,85.87,1
CAB-C,86.82,1
CAB-C,89.67,1
CAB-C,91.12,1
CAB-C,91.71,1
CAB-C,91.99,1
CAB-C,92.16,1
CAB-C,92.53,1
CAB-C,93.05,1
CAB-C,93.35,1
CAB-C,93.45,1
CAB-C,93.46,1
CAB-C,95.66,1
CAB-C,95.87,1
