y,is_multi,region_id,statut_id,categ_id
81.93,1,15,3,1
90.51,1,18,2,1
60.02,1,8,2,1
43.67,1,18,2,1
42.9,1,18,2,1
94.65,1,6,2,1
65.61,1,8,2,1
86.03,1,7,2,1
66.31,0,7,2,1
66.48,1,8,2,1
91.27,0,18,2,1
82.36,1,9,2,1
92.01,1,9,2,1
88.82,0,9,2,1
95.83,1,9,2,1
93.98,1,9,2,1
91.38,1,1,2,1
74.43,1,1,2,1
80.47,1,8,2,1
79.16,1,1,2,1
58.1,1,8,2,1
72.23,1,8,2,1
65.19,1,9,2,1
94.91,1,10,2,1
82.16,1,10,2,1
88.88,1,11,2,1
76.39,1,12,2,1
87.78,1,14,2,1
81.38,1,14,2,1
81.98,1,14,2,1
73.96,1,14,2,1
78.64,1,14,2,1
73.7,1,14,2,1
83.57,0,16,2,1
72.2,0,15,2,1
76.28,0,11,2,1
94.7,1,16,2,1
96.64,1,16,2,1
85.22,1,16,2,1
98.83,1,16,2,1
86.8,1,14,2,1
83.78,1,14,2,1
81.04,1,2,2,1
90.16,1,4,2,1
91.49,1,1,2,1
97.93,1,1,2,1
94.07,1,2,2,1
84.22,1,3,2,1
91.32,1,2,2,1
90.06,1,9,2,1
61.26,1,3,2,1
61.74,1,10,2,1
86.5,1,4,2,1
90.83,1,2,2,1
90.83,1,2,2,1
68.57,0,3,2,1
85.67,1,3,2,1
86.28,1,3,2,1
82.07,1,3,2,1
88.24,1,3,2,1
88.24,1,3,2,1
88.24,1,3,2,1
88.24,1,3,2,1
91.99,1,4,2,1
91.99,1,4,2,1
75.09,1,2,2,1
86.76,0,4,2,1
88.23,1,3,2,1
85.09,1,5,2,1
79.91,1,3,2,1
98.46,1,6,2,1
81.47,1,17,2,1
89.63,1,18,2,1
70.66,1,18,2,1
83.55,1,18,2,1
87.1,1,18,2,1
51.76,1,6,2,1
98.9,1,18,2,1
90.78,1,18,2,1
82.13,1,18,2,1
99.35,1,18,2,1
89.58,1,18,2,1
87.9,1,18,2,1
83.19,1,18,2,1
86.94,1,15,2,1
85.46,1,15,2,1
87.35,1,15,2,1
78.69,1,15,2,1
96.04,1,15,2,1
95.75,1,15,2,1
99.34,0,15,2,1
81.83,1,15,2,1
97.5,1,15,2,1
62.72,1,15,2,1
98.44,1,15,2,1
98.44,1,15,2,1
98.44,1,15,2,1
71.19,1,15,2,1
96.97,1,17,2,1
73.9,0,5,3,1
92.71,1,15,3,1
40.33,1,1,2,1
98.16,1,1,2,1
78.43,1,1,2,1
83.85,1,1,2,1
97.16,1,1,2,1
89.81,0,9,2,1
94.19,1,10,2,1
61.44,1,10,2,1
71.1,1,10,2,1
67.4,1,1,2,1
73.93,1,1,2,1
73.93,1,1,2,1
99.44,1,1,2,1
43.86,0,9,2,1
79.76,1,8,2,2
76.71,1,9,2,2
72.81,1,9,2,2
62.2,1,9,2,2
77.04,1,1,2,2
89.74,1,9,2,2
72.81,1,9,2,2
77.04,1,1,2,2
72.81,1,9,2,2
90.44,1,6,2,2
72.81,1,9,2,2
76.39,1,9,2,2
79.35,1,10,2,2
91.76,1,16,2,2
85.57,1,9,2,2
56.83,1,3,2,2
77.14,1,3,2,2
74.79,1,2,2,2
56.83,1,3,2,2
57.36,1,6,2,2
77.82,0,15,2,2
82.47,1,6,3,2
87.8,1,10,3,2
36.42,1,10,2,2
82.24,1,1,2,3
97.55,1,2,2,3
76.0,1,10,2,3
92.78,1,2,2,3
95.49,0,2,2,3
96.11,1,6,2,3
96.48,1,10,2,3
76.65,0,9,2,4
88.95,1,14,2,4
88.96,1,14,2,4
92.55,1,10,2,4
96.51,1,10,2,4
96.26,1,10,2,4
56.48,1,6,2,4
99.7,0,18,2,4
42.23,1,10,2,4
78.54,1,9,1,5
71.91,1,17,1,5
75.11,1,6,1,5
73.68,1,1,1,5
52.53,1,1,1,5
85.24,1,1,1,5
76.55,1,1,1,5
75.77,1,1,1,5
69.07,1,10,1,5
72.83,1,18,1,5
92.57,1,10,1,5
57.22,1,10,1,5
81.03,1,10,1,5
80.2,1,10,1,5
73.53,1,18,1,5
79.13,1,16,1,5
84.66,1,2,1,5
90.47,1,2,1,5
85.7,1,6,1,5
92.9,1,6,1,5
60.2,1,4,1,5
83.0,1,3,1,5
79.02,1,4,1,5
77.98,1,4,1,5
78.29,1,17,1,5
68.14,1,18,1,5
82.35,1,15,1,5
77.07,1,16,1,5
67.78,1,9,2,5
87.65,1,9,2,5
94.45,1,9,2,5
86.98,1,9,2,5
99.78,1,9,2,5
92.02,1,9,2,5
97.76,1,9,2,5
92.33,1,9,2,5
65.77,1,1,2,5
81.75,0,1,2,5
80.8,1,9,2,5
74.29,1,6,2,5
83.82,1,6,2,5
97.02,1,9,2,5
73.6,1,6,2,5
69.76,1,6,2,5
46.22,1,6,2,5
72.33,1,6,2,5
96.68,1,1,2,5
75.57,1,6,2,5
90.37,1,1,2,5
88.47,1,9,2,5
54.93,1,16,2,5
89.26,1,10,2,5
58.49,1,15,2,5
96.62,1,10,2,5
83.56,1,16,2,5
78.05,1,16,2,5
70.9,1,16,2,5
61.42,1,16,2,5
90.55,1,10,2,5
97.85,1,10,2,5
